Name	mz	rtime	Cel_pure_1-B,1_01_21144	Cel_pure_1-B,1_01_21149	Cel_pure_1-B,1_01_21154	Cel_pure_1-B,1_01_21159	Cel_pure_1-B,1_01_21164
Cluster_04304	351.2139371	37.45486283	2254.491699	1391.798706	1291.067627	1496.778687	1439.027588
Cluster_04306	351.2296018	34.2413021	603.3182983	657.9326782	545.37323	622.6901245	680.7653198
Cluster_04307	351.2506193	32.08565879	1690.611694	3642.439453	2486.942139	2911.257813	2612.993164
Cluster_04308	351.2504186	25.21080575	1472.36792	1483.833252	1271.28064	828.8326416	880.0395508
Cluster_04309	351.2505288	37.45405961	15162.2959	7723.163086	5569.681152	7279.960938	6740.055664
Cluster_04310	351.250689	34.27982697	2173.455566	3292.419922	2448.581299	2941.169678	3077.905762
Cluster_04312	351.2891399	30.23676295	6450.824219	6626.339355	7013.002441	5868.659668	6662.949707
Cluster_04318	352.1864655	3.578121073	2150.410645	2045.578979	2140.388428	2304.455078	2486.46875
Cluster_04319	352.1864183	9.849006467	1766.095581	1672.467651	1942.046387	1784.14209	1966.516724
Cluster_04320	352.1866171	6.407844455	3726.536865	3825.591064	3685.747314	3799.095459	4053.631348
Cluster_04323	352.1974149	1.609550018	965.4192505	964.1239014	982.8883057	949.5255127	1110.19873
Cluster_04326	352.3205569	33.05609031	1105.157593	1239.448242	1287.296509	1311.281982	1302.915894
Cluster_04328	353.0191659	6.914913918	2995.571777	3145.229492	3191.434326	3561.603271	3734.408203
Cluster_04335	353.1471435	2.817132688	1474.352173	1342.918213	1344.408691	1355.746582	1151.204224
Cluster_04338	353.15565	1.570812908	634.6188354	714.8728638	756.1276245	743.3205566	708.0170288
Cluster_04342	353.2294334	37.45947652	2059.100342	1074.52478	895.7409058	881.7689209	891.9188843
Cluster_04346	353.2451776	35.23374007	914.2398071	944.4400024	587.4280396	875.9257813	690.3739014
Cluster_04347	353.2665169	35.11332047	2065.601563	2527.540039	1693.622192	2359.48584	2044.345825
Cluster_04353	353.3418699	37.12254844	190810.7344	170502.7031	164512.6094	193107.125	203684.2344
Cluster_04357	353.3514411	37.197	2341.009033	3976.9375	4596.163574	2894.553467	3143.139893
Cluster_04358	354.026038	6.914063972	1429.443848	1562.664917	1776.56311	2112.670898	2341.734619
Cluster_04359	354.0260394	8.909389128	793.397583	769.9989624	905.1089478	1120.696167	1205.859131
Cluster_04361	354.0583191	3.051678709	2064.547363	2148.235596	2421.925537	2450.652832	2659.746094
Cluster_04362	354.0785279	3.620895117	980.2550049	1192.432495	1104.622559	1068.295044	1140.903809
Cluster_04364	354.1656931	2.984414067	618.9406738	524.350647	665.9120483	621.1710205	674.8531494
Cluster_04366	354.2025044	2.812931278	1082.934448	995.2952881	1155.323975	1189.698853	1134.1427
Cluster_04367	354.3001359	30.31816369	1542.862915	1336.154907	1412.617554	1385.675049	1445.404297
Cluster_04368	354.3001609	34.2606955	3359.026123	4349.609863	3222.904297	3633.094238	3774.648682
Cluster_04376	355.0740375	1.548900089	2399.480225	2443.010986	2264.077637	2435.29541	2581.921631
Cluster_04379	355.2326012	11.61129355	2510.204346	2591.133301	2831.82959	2622.992432	2646.341553
Cluster_04380	355.2324309	10.99442606	1355.65271	1354.616089	1158.747192	1452.319824	1390.131226
Cluster_04381	355.2453517	32.86360494	2496.985596	4019.434814	2041.476318	2006.162476	1663.591187
Cluster_04384	355.2629374	20.53357914	2833.593262	2847.061279	2642.540771	2845.51709	2823.28125
Cluster_04387	355.2845657	27.99312038	23420.57031	24874.86523	24261.75586	24671.32422	25794.08008
Cluster_04388	355.2843498	32.64432705	8696.060547	7983.979004	6114.502441	5817.958008	5039.865723
Cluster_04389	355.2848221	33.15356151	5893.628906	7151.485352	6113.57959	5906.763672	6174.107422
Cluster_04390	355.357034	36.37311974	1411.237915	1373.63501	1167.023804	1506.86792	1332.284912
Cluster_04393	356.152476	24.58785392	1159.434326	1263.761841	1446.596191	1206.871948	1439.925903
Cluster_04397	356.2796003	20.92516153	7166.801758	7402.356445	7643.753906	7341.29834	7841.058105
Cluster_04398	356.2794421	25.23225399	1225.566528	1201.685913	1232.024048	1137.386597	1396.943481
Cluster_04399	356.2794223	38.09063059	1616.826294	1501.446411	1176.665894	1435.156616	1505.128784
Cluster_04401	356.3161245	31.20854307	6270.545898	7782.423828	6831.588867	7458.514648	7453.740723
Cluster_04405	357.1116221	13.6943346	1243.67041	1255.329346	1445.990845	1632.116821	1818.93335
Cluster_04406	357.1513582	32.86373253	16833.48047	23383.95117	23683.37891	31484.33398	30307.24609
Cluster_04408	357.1771321	1.607078437	1748.35376	1827.337036	1858.004517	1905.015259	2042.294067
Cluster_04409	357.1766864	3.234667725	1061.062988	1161.745728	1025.622314	1087.71814	1382.740967
Cluster_04410	357.1764239	5.836455225	995.048584	1105.919067	1223.389038	1301.483887	1412.390869
Cluster_04413	357.21312	2.254549215	3142.26416	3291.374512	3630.282471	3631.020752	4173.075684
Cluster_04414	357.2132093	8.705635683	5554.67627	5393.363281	5341.626465	5257.320801	5986.458984
Cluster_04415	357.212725	4.763134825	812.534668	932.1308594	814.3071899	812.9356079	982.8548584
Cluster_04416	357.21313	7.627175541	2946.918701	3105.85498	3090.008789	3097.746826	3286.885986
Cluster_04418	357.2130395	3.603638521	1234.699341	1466.046753	1440.329712	1479.591431	1566.915405
Cluster_04421	357.22714	19.06341295	2121.330566	2060.407471	1840.644897	1788.00708	2124.948486
Cluster_04423	357.2493645	2.296728804	1856.550049	2079.967041	2340.334229	2353.992432	2611.38623
Cluster_04424	357.2684721	24.48024117	2851.491455	3552.694092	3219.774658	3770.831787	2946.299805
Cluster_04426	357.2790639	24.47170493	32914.06641	32294.4043	29129.52734	32112.96094	33738.99609
Cluster_04427	357.3002938	35.6587305	11123.92871	11091.94629	9453.474609	12200.38965	12257.26367
Cluster_04428	357.2998456	28.78384139	4463.90918	4474.472656	3965.792969	4025.028809	4144.30957
Cluster_04429	357.3000064	35.05980408	11579.15137	11962.7168	8909.373047	9967.373047	10104.67969
Cluster_04430	357.3157851	35.61261667	672.0664063	674.6398315	765.2609253	964.4020386	722.1581421
Cluster_04431	357.336171	39.69941916	730.4483032	775.1256104	716.5830078	677.0371704	857.2501221
Cluster_04435	358.197459	3.024638149	13355.19922	13790.08887	14012.29492	14994.7832	15404.27344
Cluster_04436	358.1969792	5.410661416	1148.612061	982.9840088	933.0292358	743.7086792	626.1525879
Cluster_04440	358.2333962	6.539117536	3056.715332	3184.150879	3056.486816	3134.39917	3317.061279
Cluster_04442	358.2587103	17.31637671	5642.481934	5595.099121	5383.518066	5550.609375	6038.091797
Cluster_04443	358.258746	21.91032383	1667.584473	1624.329468	1730.20166	1771.932007	1782.321655
Cluster_04444	358.2702093	11.77816903	45614.23438	46899.47266	41270.11328	45010.29297	46466.82422
Cluster_04445	358.2698118	12.25050606	11491.18652	11121.9209	10194.63477	10340.02734	11469.99316
Cluster_04446	358.2697915	13.66276046	2167.593018	1776.698364	2051.808105	2183.872559	2238.744385
Cluster_04447	358.3314205	32.26815219	1964.691284	2327.860596	2226.775391	2439.384521	2554.792725
Cluster_04450	358.3677224	27.55545343	996.3858643	979.9262085	817.8910522	820.7657471	971.8574829
Cluster_04453	359.1034432	3.338180449	1876.252441	1931.516846	2143.124756	2493.369873	2600.548096
Cluster_04454	359.166819	34.23501968	4051.881104	5575.190918	6396.624512	8407	8754.456055
Cluster_04455	359.1665712	34.78425917	1731.270264	2382.707031	2577.586426	3738.169678	3919.224365
Cluster_04456	359.1920741	1.955449753	6737.634277	7307.339844	6677.134277	6956.492676	7328.770996
Cluster_04458	359.2064023	17.34493108	689.5064087	573.6171875	576.7610474	628.5394897	567.1738892
Cluster_04459	359.2193651	22.69762162	5384.672363	6599.190918	6120.378906	5252.128906	5095.177734
Cluster_04460	359.2374531	2.373767625	5937.937988	6113.181152	7134.636719	7428.521973	7980.767578
Cluster_04461	359.2289397	3.501764761	7872.641113	8015.274902	7607.052734	8196.702148	8729.810547
Cluster_04462	359.2288248	4.817044341	4468.42334	4335.918945	3995.61792	4080.107666	4512.419922
Cluster_04464	359.2374531	2.373767625	5937.937988	6113.181152	7134.636719	7428.521973	7980.767578
Cluster_04466	359.2402444	3.500093148	924.8260498	1015.781738	958.8322144	968.8547363	870.7397461
Cluster_04467	359.2581681	24.6085685	24321.26367	20536.04883	16590.16992	18779.33984	22278.39063
Cluster_04468	359.2580176	26.7160786	5385.28418	5107.244629	4141.590332	4006.196045	3915.018066
Cluster_04469	359.2581705	30.44409596	5165.234863	5589.788086	5164.464355	5068.959961	5333.766602
Cluster_04470	359.2578637	43.05209659	2710.018799	2890.807617	2710.858643	2948.76001	3021.442871
Cluster_04471	359.2579719	25.24474834	1924.061401	2206.908691	1957.635986	2378.827637	2281.58252
Cluster_04473	359.257869	44.48603359	882.4839478	943.3528442	863.3413086	1048.737671	973.6958008
Cluster_04474	359.2651211	6.666407991	3530.205322	3468.283203	3588.456055	3728.906982	3895.941406
Cluster_04475	359.2648842	1.59574023	3659.705566	3305.650391	3541.923828	3354.984619	3495.739258
Cluster_04476	359.26526	3.224564721	5641.098145	5986.414063	6340.335449	6762.834473	7200.285645
Cluster_04477	359.2651116	4.026779516	2450.281494	2901.380371	2777.233398	3298.247559	3212.32251
